;layers;neurons;optimizer;learning_rate;epochs;batch_size;accuracy;precision;recall;f1_score
77;1;48;adam;0.05;100;16;0.24;0.32;0.24;0.2567
78;1;48;adam;0.05;150;16;0.32;0.39;0.32;0.3267
79;1;48;adam;0.05;200;16;0.32;0.3933;0.32;0.32
80;1;48;adam;0.001;50;16;0.28;0.25;0.28;0.2439
81;1;48;adam;0.001;100;16;0.32;0.4;0.32;0.3267
82;1;48;adam;0.001;150;16;0.36;0.35;0.36;0.3467
83;1;48;adam;0.001;200;16;0.32;0.3;0.32;0.2958
84;1;48;adam;0.005;50;16;0.32;0.32;0.32;0.2958
85;1;48;adam;0.005;100;16;0.36;0.46;0.36;0.38
86;1;48;adam;0.005;150;16;0.32;0.5;0.32;0.37
87;1;48;adam;0.005;200;16;0.4;0.46;0.4;0.3933
88;1;48;adam;0.0001;50;16;0.2;0.04;0.2;0.0667
89;1;48;adam;0.0001;100;16;0.2;0.0476;0.2;0.0769
90;1;48;adam;0.0001;150;16;0.12;0.0333;0.12;0.0522
91;1;48;adam;0.0001;200;16;0.16;0.0571;0.16;0.0842
92;1;48;adam;0.0005;50;16;0.2;0.1067;0.2;0.139
93;1;48;adam;0.0005;100;16;0.36;0.34;0.36;0.3358
94;1;48;adam;0.0005;150;16;0.36;0.34;0.36;0.3358
95;1;48;adam;0.0005;200;16;0.4;0.48;0.4;0.4091
96;1;48;rmsprop;0.01;50;16;0.2;0.1533;0.2;0.1533
97;1;48;rmsprop;0.01;100;16;0.36;0.42;0.36;0.3558
98;1;48;rmsprop;0.01;150;16;0.28;0.3933;0.28;0.3153
99;1;48;rmsprop;0.01;200;16;0.36;0.52;0.36;0.3967
100;1;48;rmsprop;0.05;50;16;0.2;0.0455;0.2;0.0741
101;1;48;rmsprop;0.05;100;16;0.16;0.14;0.16;0.1467
102;1;48;rmsprop;0.05;150;16;0.36;0.52;0.36;0.3967
103;1;48;rmsprop;0.05;200;16;0.36;0.4;0.36;0.358
104;1;48;rmsprop;0.001;50;16;0.16;0.0444;0.16;0.0696
105;1;48;rmsprop;0.001;100;16;0.4;0.36;0.4;0.3733
106;1;48;rmsprop;0.001;150;16;0.36;0.3333;0.36;0.3267
107;1;48;rmsprop;0.001;200;16;0.36;0.3257;0.36;0.3267
108;1;48;rmsprop;0.005;50;16;0.4;0.3633;0.4;0.3707
109;1;48;rmsprop;0.005;100;16;0.36;0.46;0.36;0.38
110;1;48;rmsprop;0.005;150;16;0.32;0.44;0.32;0.35
111;1;48;rmsprop;0.005;200;16;0.44;0.58;0.44;0.486
112;1;48;rmsprop;0.0001;50;16;0.2;0.04;0.2;0.0667
113;1;48;rmsprop;0.0001;100;16;0.2;0.04;0.2;0.0667
114;1;48;rmsprop;0.0001;150;16;0.2;0.04;0.2;0.0667
115;1;48;rmsprop;0.0001;200;16;0.2;0.0455;0.2;0.0741
116;1;48;rmsprop;0.0005;50;16;0.2;0.0476;0.2;0.0769
117;1;48;rmsprop;0.0005;100;16;0.12;0.0462;0.12;0.0667
118;1;48;rmsprop;0.0005;150;16;0.24;0.1457;0.24;0.18
119;1;48;rmsprop;0.0005;200;16;0.28;0.2267;0.28;0.2291
120;1;48;sgd;0.01;50;16;0.2;0.04;0.2;0.0667
121;1;48;sgd;0.01;100;16;0.2;0.04;0.2;0.0667
122;1;48;sgd;0.01;150;16;0.2;0.04;0.2;0.0667
123;1;48;sgd;0.01;200;16;0.2;0.04;0.2;0.0667
124;1;48;sgd;0.05;50;16;0.2;0.04;0.2;0.0667
125;1;48;sgd;0.05;100;16;0.2;0.04;0.2;0.0667
126;1;48;sgd;0.05;150;16;0.2;0.04;0.2;0.0667
127;1;48;sgd;0.05;200;16;0.2;0.0455;0.2;0.0741
128;1;48;sgd;0.001;50;16;0.2;0.04;0.2;0.0667
129;1;48;sgd;0.001;100;16;0.2;0.04;0.2;0.0667
130;1;48;sgd;0.001;150;16;0.2;0.04;0.2;0.0667
131;1;48;sgd;0.001;200;16;0.2;0.04;0.2;0.0667
132;1;48;sgd;0.005;50;16;0.2;0.04;0.2;0.0667
133;1;48;sgd;0.005;100;16;0.2;0.04;0.2;0.0667
134;1;48;sgd;0.005;150;16;0.2;0.04;0.2;0.0667
135;1;48;sgd;0.005;200;16;0.2;0.04;0.2;0.0667
136;1;48;sgd;0.0001;50;16;0.0;0.0;0.0;0.0
137;1;48;sgd;0.0001;100;16;0.2;0.04;0.2;0.0667
138;1;48;sgd;0.0001;150;16;0.2;0.04;0.2;0.0667
139;1;48;sgd;0.0001;200;16;0.2;0.04;0.2;0.0667
140;1;48;sgd;0.0005;50;16;0.2;0.04;0.2;0.0667
141;1;48;sgd;0.0005;100;16;0.2;0.04;0.2;0.0667
142;1;48;sgd;0.0005;150;16;0.2;0.04;0.2;0.0667
143;1;48;sgd;0.0005;200;16;0.2;0.04;0.2;0.0667
144;1;64;adam;0.01;50;16;0.28;0.255;0.28;0.2523
145;1;64;adam;0.01;100;16;0.32;0.3733;0.32;0.3067
146;1;64;adam;0.01;150;16;0.48;0.62;0.48;0.5033
147;1;64;adam;0.01;200;16;0.44;0.58;0.44;0.486
148;1;64;adam;0.05;50;16;0.2;0.04;0.2;0.0667
149;1;64;adam;0.05;100;16;0.2;0.0455;0.2;0.0741
150;1;64;adam;0.05;150;16;0.2;0.0455;0.2;0.0741
151;1;64;adam;0.05;200;16;0.16;0.1257;0.16;0.13
152;1;64;adam;0.001;50;16;0.36;0.359;0.36;0.3413
153;1;64;adam;0.001;100;16;0.36;0.34;0.36;0.3358
154;1;64;adam;0.001;150;16;0.4;0.4457;0.4;0.3867
155;1;64;adam;0.001;200;16;0.44;0.52;0.44;0.4467
156;1;64;adam;0.005;50;16;0.36;0.42;0.36;0.3558
157;1;64;adam;0.005;100;16;0.28;0.37;0.28;0.3093
158;1;64;adam;0.005;150;16;0.44;0.51;0.44;0.456
159;1;64;adam;0.005;200;16;0.4;0.56;0.4;0.4367
160;1;64;adam;0.0001;50;16;0.2;0.04;0.2;0.0667
161;1;64;adam;0.0001;100;16;0.2;0.05;0.2;0.08
162;1;64;adam;0.0001;150;16;0.16;0.0421;0.16;0.0667
163;1;64;adam;0.0001;200;16;0.2;0.0733;0.2;0.1067
164;1;64;adam;0.0005;50;16;0.2;0.09;0.2;0.1239
165;1;64;adam;0.0005;100;16;0.36;0.3257;0.36;0.3133
166;1;64;adam;0.0005;150;16;0.4;0.36;0.4;0.36
167;1;64;adam;0.0005;200;16;0.36;0.32;0.36;0.3224
168;1;64;rmsprop;0.01;50;16;0.28;0.319;0.28;0.26
169;1;64;rmsprop;0.01;100;16;0.28;0.24;0.28;0.22
170;1;64;rmsprop;0.01;150;16;0.36;0.54;0.36;0.41
171;1;64;rmsprop;0.01;200;16;0.36;0.4;0.36;0.3633
172;1;64;rmsprop;0.05;50;16;0.2;0.0455;0.2;0.0741
173;1;64;rmsprop;0.05;100;16;0.28;0.1225;0.28;0.1619
174;1;64;rmsprop;0.05;150;16;0.16;0.0442;0.16;0.0686
175;1;64;rmsprop;0.05;200;16;0.16;0.1567;0.16;0.1448
176;1;64;rmsprop;0.001;50;16;0.28;0.2;0.28;0.2297
177;1;64;rmsprop;0.001;100;16;0.32;0.34;0.32;0.3091
178;1;64;rmsprop;0.001;150;16;0.36;0.36;0.36;0.3467
179;1;64;rmsprop;0.001;200;16;0.32;0.34;0.32;0.32
180;1;64;rmsprop;0.005;50;16;0.28;0.28;0.28;0.2667
181;1;64;rmsprop;0.005;100;16;0.36;0.3457;0.36;0.3267
182;1;64;rmsprop;0.005;150;16;0.24;0.18;0.24;0.2
183;1;64;rmsprop;0.005;200;16;0.44;0.6;0.44;0.486
184;1;64;rmsprop;0.0001;50;16;0.2;0.04;0.2;0.0667
185;1;64;rmsprop;0.0001;100;16;0.2;0.04;0.2;0.0667
186;1;64;rmsprop;0.0001;150;16;0.2;0.0455;0.2;0.0741
187;1;64;rmsprop;0.0001;200;16;0.2;0.0455;0.2;0.0741
188;1;64;rmsprop;0.0005;50;16;0.2;0.0554;0.2;0.0867
189;1;64;rmsprop;0.0005;100;16;0.36;0.36;0.36;0.3491
190;1;64;rmsprop;0.0005;150;16;0.4;0.3333;0.4;0.3533
191;1;64;rmsprop;0.0005;200;16;0.4;0.38;0.4;0.3733
192;1;64;sgd;0.01;50;16;0.2;0.04;0.2;0.0667
193;1;64;sgd;0.01;100;16;0.2;0.04;0.2;0.0667
194;1;64;sgd;0.01;150;16;0.2;0.04;0.2;0.0667
195;1;64;sgd;0.01;200;16;0.2;0.04;0.2;0.0667
196;1;64;sgd;0.05;50;16;0.2;0.04;0.2;0.0667
197;1;64;sgd;0.05;100;16;0.2;0.04;0.2;0.0667
198;1;64;sgd;0.05;150;16;0.2;0.04;0.2;0.0667
199;1;64;sgd;0.05;200;16;0.2;0.0455;0.2;0.0741
200;1;64;sgd;0.001;50;16;0.2;0.04;0.2;0.0667
201;1;64;sgd;0.001;100;16;0.2;0.04;0.2;0.0667
202;1;64;sgd;0.001;150;16;0.2;0.04;0.2;0.0667
203;1;64;sgd;0.001;200;16;0.2;0.04;0.2;0.0667
204;1;64;sgd;0.005;50;16;0.2;0.04;0.2;0.0667
205;1;64;sgd;0.005;100;16;0.2;0.04;0.2;0.0667
206;1;64;sgd;0.005;150;16;0.2;0.04;0.2;0.0667
207;1;64;sgd;0.005;200;16;0.2;0.04;0.2;0.0667
208;1;64;sgd;0.0001;50;16;0.08;0.025;0.08;0.0381
209;1;64;sgd;0.0001;100;16;0.2;0.04;0.2;0.0667
210;1;64;sgd;0.0001;150;16;0.2;0.04;0.2;0.0667
211;1;64;sgd;0.0001;200;16;0.2;0.04;0.2;0.0667
212;1;64;sgd;0.0005;50;16;0.2;0.04;0.2;0.0667
213;1;64;sgd;0.0005;100;16;0.2;0.04;0.2;0.0667
214;1;64;sgd;0.0005;150;16;0.2;0.04;0.2;0.0667
215;1;64;sgd;0.0005;200;16;0.2;0.04;0.2;0.0667
216;1;80;adam;0.01;50;16;0.24;0.2533;0.24;0.2158
217;1;80;adam;0.01;100;16;0.36;0.5;0.36;0.3967
218;1;80;adam;0.01;150;16;0.36;0.48;0.36;0.3833
219;1;80;adam;0.01;200;16;0.28;0.4;0.28;0.31
220;1;80;adam;0.05;50;16;0.2;0.05;0.2;0.08
221;1;80;adam;0.05;100;16;0.16;0.1057;0.16;0.1191
222;1;80;adam;0.05;150;16;0.2;0.0455;0.2;0.0741
223;1;80;adam;0.05;200;16;0.32;0.42;0.32;0.3511
